Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
* Non Interest Bearing Short Term Liability,"46,895,789,000","76,685,664,000","60,899,904,000","39,409,142,000","11,172,968,000","8,382,012,000","37,934,551,000","21,876,223,000","15,861,800,000","11,810,787,000","9,751,994,000","8,002,897,000","3,891,013,000","3,204,375,000","2,981,033,000","3,588,136,000","2,632,283,000","2,424,597,000"
Trades Payables,"46,620,853,000","76,009,303,000","60,599,330,000","39,218,435,000","10,851,877,000","8,113,918,000","37,904,434,000","21,854,125,000","15,836,879,000","11,730,961,000","9,614,026,000","8,002,897,000","5,993,674,000","5,815,276,000","4,025,926,000","6,737,803,000","5,831,105,000","3,356,904,000"
Total Current Liabilities,"81,670,893,000","106,875,854,000","99,944,692,000","59,009,809,000","41,032,611,000","32,325,501,000","53,818,103,000","34,319,438,000","26,817,489,000","25,924,328,000","20,578,083,000","17,854,574,000","11,823,641,000","11,476,393,000","10,883,988,000","12,626,153,000","8,872,797,000","8,617,870,000"
Total Liabilities,"130,413,087,000","117,823,159,000","113,106,589,000","79,278,489,000","62,497,789,000","52,818,424,000","60,892,131,000","42,677,807,000","34,790,804,000","32,460,692,000","27,613,309,000","25,469,140,000","19,633,750,000","16,511,169,000","14,473,738,000","16,008,231,000","14,148,200,000","15,696,756,000"
Paid Up Capital,"12,722,382,000","12,722,382,000","12,722,382,000","12,722,382,000","12,722,382,000","12,722,382,000","12,722,382,000","12,722,382,000","12,722,382,000","8,481,588,000","6,785,271,000","6,785,271,000","4,934,742,000","4,934,742,000","4,934,742,000","4,934,742,000","2,949,703,000","2,564,959,000"
Reserves,"29,621,383,000","22,857,960,000","20,682,513,000","16,336,474,000","15,001,963,000","14,054,676,000","12,643,585,000","12,418,373,000","13,373,667,000","14,588,636,000","8,662,276,000","6,297,171,000","7,350,471,000","7,795,303,000","8,021,801,000","7,506,166,000","9,345,204,000","8,957,753,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"191,906,000","-13,641,000","-21,950,000","293,523,000","486,950,000","534,407,000","303,564,000","10,508,000",0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"42,535,671,000","35,566,701,000","33,382,945,000","29,352,379,000","28,211,295,000","27,311,465,000","25,669,531,000","25,151,263,000","26,096,049,000","23,070,224,000","15,447,547,000","13,082,442,000","12,285,213,000","12,730,045,000","12,956,543,000","12,440,908,000","12,294,907,000","11,522,712,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,272,238,200","1,272,238,200","1,272,238,200","1,272,238,247","1,272,238,247","1,272,238,247","1,272,238,247","1,272,238,247","1,272,238,247","848,158,831","678,527,065","678,527,065","493,474,200","493,474,200","493,474,200","493,474,200","294,970,300","256,495,900"
